"date","tradevolMTUM","tradevolQUAL","tradevolVLUE","tradevolSIZE","tradevolUSMV","tradevolSPY"
2018-08-02,3890,1170,886,47,3892,247749
2018-08-03,2837,1026,694,51,2932,201723
2018-08-06,3416,1287,817,65,3590,159467
2018-08-07,3058,1078,1088,58,3720,181012
2018-08-09,2456,884,1005,52,3703,140978
2018-08-10,2889,1653,2508,26,3948,292690
2018-08-13,3007,1486,867,23,4190,270772
2018-08-14,3247,961,1264,18,3870,193568
2018-08-15,4383,1395,1438,20,5112,437746
2018-08-16,2612,1093,687,39,3656,259399
2018-08-17,6209,1015,925,26,3843,244274
2018-08-20,4044,1533,795,15,3443,160489
2018-08-21,3103,1221,695,35,3867,243816
2018-08-23,2829,943,735,23,3628,196814
2018-08-24,3484,1038,1076,18,2919,219986
2018-08-27,3609,2874,778,111,3329,213475
2018-08-29,3798,1791,788,34,3610,207173
2018-08-30,4212,1323,891,21,3075,270414
2018-09-04,5243,2604,869,189,4475,246057
2018-09-06,7222,1085,1356,9,4155,289834
2018-09-07,3977,1167,974,17,4063,309155
2018-09-10,3238,1076,646,33,5474,207002
2018-09-11,4388,1679,760,41,4603,213946
2018-09-12,4507,1775,1269,24,8241,269046
2018-09-13,2843,2373,1121,51,11668,234792
2018-09-14,4349,2989,2135,30,4997,222192
2018-09-17,4059,859,629,15,3467,248359
2018-09-18,3393,1085,1181,29,4228,227465
2018-09-19,2864,1711,1021,32,4038,209305
2018-09-20,5918,1885,1410,52,4823,294670
2018-09-21,3933,2399,1475,27,4746,258387
2018-09-24,4302,1055,1344,40,3613,233334
2018-09-25,3492,1330,1019,29,4653,175808
2018-09-26,3847,2297,1272,43,6556,298739
2018-09-27,2651,1379,828,32,3724,238702
2018-09-28,10873,1616,800,33,3780,267815
2018-10-01,4551,1585,939,190,4417,254454
2018-10-02,4501,2719,739,44,10350,220334
2018-10-03,5660,2331,942,43,5469,258733
2018-10-04,8888,2393,1229,36,5519,478296
