date,SPY,EFA,VOO,IVV,TLT,TIP,IVE,XLE,XLI,XLK,XLF
2017-11-08,0.0017000000000000001,0.0033,0.0015,0.0017000000000000001,-0.0022,-0.0006,-0.0003,-0.0048,-0.0017000000000000001,0.0055000000000000005,-0.0049
2017-11-07,-0.0007000000000000001,-0.0037,-0.0004,-0.0005,0.0042,0.0014000000000000002,-0.0016,-0.0013,0.0015,0.0005,-0.0138
2017-11-06,0.0015,0.0014000000000000002,0.0015,0.0017000000000000001,0.0037,0.0017000000000000001,-0.0005,0.0229,0.0006,0.0022,-0.0011
2017-11-03,0.0033,-0.0016,0.0033,0.0031,0.0027,0.0007000000000000001,-0.0002,0.0029,-0.001,0.0079,-0.0040999999999999995
2017-11-02,0.0004,0.003,0.0004,0.0005,0.0044,0.0015,0.0005,-0.0029,0.005699999999999999,0.0005,0.009399999999999999
2017-11-01,0.0013,0.001,0.0017000000000000001,0.0016,0.0045000000000000005,0.001,0.0029,0.0113,-0.0006,0.0002,0.0015
2017-10-31,0.0016,0.0042,0.0011,0.0011,0.0003,0.0004,0.001,0.0033,-0.004,0.0043,-0.0026
2017-10-30,-0.0037,0.0023,-0.0036,-0.0034000000000000002,0.0096,0.0026,-0.0051,0.0052,-0.0069,0.0022,-0.0040999999999999995
2017-10-27,0.008199999999999999,0.0023,0.0085,0.008,0.0066,0.0032,-0.001,0.0018,0.0004,0.0269,-0.0007000000000000001
2017-10-26,0.0013,-0.0001,0.0009,0.0012,-0.0033,-0.0004,0.0022,0.0021,0.0014000000000000002,0.0040999999999999995,0.005600000000000001
2017-10-25,-0.005,-0.0039000000000000003,-0.0048,-0.004699999999999999,-0.0048,-0.0011,-0.005600000000000001,-0.006999999999999999,-0.009899999999999999,-0.0054,-0.006
2017-10-24,0.0018,0.0016,0.0014000000000000002,0.0015,-0.0062,-0.0014000000000000002,0.0023,0.0019,0.005699999999999999,0.0028000000000000004,0.0070999999999999995
2017-10-23,-0.0039000000000000003,-0.0022,-0.0036,-0.0038,0.0018,0.0001,-0.0016,-0.0052,-0.0063,-0.004699999999999999,-0.0008
2017-10-20,0.0052,-0.0013,0.005,0.0051,-0.0106,-0.0023,0.006500000000000001,0.0019,0.0108,0.0068000000000000005,0.0118
2017-10-19,0.0003,-0.0016,0.0005,0.0004,0.0018,0.0013,0.0022,-0.0031,0.0028000000000000004,-0.003,0.0008
2017-10-18,0.001,0.0029,0.0009,0.0009,-0.0066,-0.0012,0.0011,-0.006999999999999999,0.0004,0.0025,0.0053
2017-10-17,0.0007000000000000001,-0.0026,0.0006,0.0006,0.0013,-0.0018,-0.0005,0.0006,-0.0026,0.0,-0.0049
2017-10-16,0.0013,-0.0007000000000000001,0.0016,0.0016,-0.0007000000000000001,-0.0023,0.0014000000000000002,0.0022,0.0011,0.0036,0.006500000000000001
2017-10-13,0.0012,0.0052,0.0011,0.0011,0.0072,0.0014000000000000002,0.0005,-0.0006,-0.0018,0.0048,0.0004
2017-10-12,-0.0015,-0.0009,-0.0015,-0.0014000000000000002,0.0043,0.0018,-0.0040999999999999995,-0.0037,0.0053,-0.0025,-0.0076
2017-10-11,0.0016,0.0025,0.0016,0.0014000000000000002,0.0019,0.0012,-0.0001,0.0023,-0.0006,0.0033,-0.0019
2017-10-10,0.0026,0.0095,0.0025,0.0026,0.0016,0.0018,0.0046,0.0009,0.0015,0.001,0.0046
2017-10-09,-0.0017000000000000001,0.0003,-0.0018,-0.0017000000000000001,0.0032,0.0004,-0.0038,0.0021,-0.0028000000000000004,0.0025,-0.0038
2017-10-06,-0.0011,-0.0007000000000000001,-0.0009,-0.0011,-0.0028000000000000004,-0.0008,-0.0026,-0.0084,-0.0001,0.0015,0.0011
2017-10-05,0.0059,-0.0006,0.0059,0.0058,-0.0038,-0.0011,0.004699999999999999,0.0045000000000000005,0.0024,0.0096,0.0104
2017-10-04,0.0012,-0.0019,0.0014000000000000002,0.0013,0.0001,0.0009,0.0014000000000000002,-0.0007000000000000001,-0.0003,-0.0007000000000000001,-0.0046
2017-10-03,0.0021,0.0034000000000000002,0.002,0.0024,0.001,0.001,0.002,-0.001,0.0043,0.0024,0.0034999999999999996
